savings_kms,tps_areal_density_kg_m2,coverage_frac,dv_inbound_kms,m_dry_base_eff_t,m_shield_t,m_dry_total_t,m_post_exit_t,m_at_earth_t,m_delivered_t,delivered_fraction
2.0,30,0.5,22.7,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,216.14052575036428,33.65970502952021,0.16829852514760105
2.0,30,1.0,22.7,180.0,4.961641441688155,184.96164144168816,345.6218041387066,217.54244152194485,32.580800080256694,0.16290400040128347
2.0,50,0.3,22.7,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,216.14052575036428,33.65970502952021,0.16829852514760105
2.0,50,0.5,22.7,180.0,4.134701201406796,184.13470120140678,344.87937022583515,217.07513626475128,32.940435063344495,0.1647021753167225
2.0,50,1.0,22.7,180.0,8.269402402813592,188.2694024028136,348.5915397901921,219.41166255071897,31.142260147905375,0.15571130073952688
2.0,80,0.3,22.7,180.0,3.969313153350524,183.96931315335053,344.73088344326095,216.98167521331263,33.0123620599621,0.1650618102998105
2.0,80,0.5,22.7,180.0,6.615521922250873,186.61552192225088,347.10667196444933,218.4770520363319,31.861530114081035,0.15930765057040516
2.0,80,1.0,22.7,180.0,13.231043844501746,193.23104384450176,353.0461432674203,222.21549409388012,28.98445024937837,0.14492225124689184
2.0,120,0.3,22.7,180.0,5.9539697300257854,185.9539697300258,346.5127248341522,218.10320783057708,32.14923810055129,0.16074619050275643
2.0,120,0.5,22.7,180.0,9.92328288337631,189.92328288337632,350.07640761593484,220.34627306510603,30.422990181729716,0.15211495090864857
2.0,120,1.0,22.7,180.0,19.84656576675262,199.84656576675263,358.9856145703913,225.95393615142837,26.107370384675733,0.13053685192337866
2.0,200,0.3,22.7,180.0,9.92328288337631,189.92328288337632,350.07640761593484,220.34627306510603,30.422990181729716,0.15211495090864857
2.0,200,0.5,22.7,180.0,16.538804805627183,196.5388048056272,356.0158789189058,224.08471512265425,27.54591031702705,0.13772955158513525
2.0,200,1.0,22.7,180.0,33.07760961125437,213.07760961125436,370.8645571763333,233.43082026652482,20.35321065527046,0.1017660532763523
2.5,0,0.3,22.2,180.0,0.0,180.0,341.1672006614783,216.9395369333696,36.939536933369595,0.18469768466684797
2.5,0,0.5,22.2,180.0,0.0,180.0,341.1672006614783,216.9395369333696,36.939536933369595,0.18469768466684797
2.5,0,1.0,22.2,180.0,0.0,180.0,341.1672006614783,216.9395369333696,36.939536933369595,0.18469768466684797
2.5,30,0.3,22.2,180.0,1.4884924325064464,181.48849243250643,342.50358170464676,217.7893076150453,36.300815182538855,0.18150407591269427
2.5,30,0.5,22.2,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,218.35582140282912,35.87500068198506,0.1793750034099253
2.5,30,1.0,22.2,180.0,4.961641441688155,184.96164144168816,345.6218041387066,219.77210587228868,34.81046443060052,0.1740523221530026
2.5,50,0.3,22.2,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,218.35582140282912,35.87500068198506,0.1793750034099253
